color,player name,platform,player id,car id,car name,game duration,score,goals,assists,saves,shots,shots conceded,goals conceded,goals conceded while last defender,shooting percentage,bpm,avg boost amount,amount collected,amount collected big pads,amount collected small pads,count collected big pads,count collected small pads,amount stolen,amount stolen big pads,amount stolen small pads,count stolen big pads,count stolen small pads,0 boost time,100 boost time,amount used while supersonic,amount overfill total,amount overfill stolen,avg speed,total distance,time slow speed,percentage slow speed,time boost speed,percentage boost speed,time supersonic speed,percentage supersonic speed,time on ground,percentage on ground,time low in air,percentage low in air,time high in air,percentage high in air,time powerslide,avg powerslide time,count powerslide,time most back,time most forward,avg distance to ball,avg distance to ball has possession,avg distance to ball no possession,avg distance to team mates,time behind ball,percentage behind ball,time in front of ball,percentage in front of ball,time defensive half,percentage defensive half,time offensive half,percentage offensive half,time defensive third,percentage defensive third,time neutral third,percentage neutral third,time offensive third,percentage offensive third,demos inflicted,demos taken,rank
orange,sasquatch8705,XBox,22165c0300000900,5979,Tyranno GXT,339,725,4,1,1,4,4,2,2,100,349,40.67,1781,1327,454,16,42,401,250,151,3,13,38.84,29.02,241,287,54,1288,382967,209.09,61.89,103.15,30.53,25.58,7.57,200.55,59.37,121.6,36,15.66,4.64,1.78,0.3,6,89.6,232.6,2224,2049,2544,3126,223.08,66.04,114.74,33.96,176.67,52.3,161.14,47.7,133.23,39.44,98.01,29.01,106.58,31.55,2,0,gold
orange,Matt,Psynet,6a084a94f48605f4,23,Octane,339,286,1,1,1,2,4,2,0,50,189,52.06,1190,823,367,10,32,166,100,66,1,7,21.86,39.06,77,90,2,1168,352982,240.12,70.99,83.48,24.68,14.65,4.33,235.27,69.56,95.5,28.23,7.48,2.21,6.69,0.2,34,239.7,83.5,2692,2845,2504,3126,280.92,83.05,57.33,16.95,230.48,68.14,107.76,31.86,188.57,55.75,100.25,29.64,49.42,14.61,0,0,gold
blue,Jeno,Steam,76561198196395091,1568,Octane ZSR,167,80,0,0,1,1,5,3,0,0,308,58.87,870,623,247,8,22,207,139,68,2,7,1.38,26.64,120,186,69,1466,226757,91.14,54.51,53.82,32.19,22.25,13.31,118.57,70.91,47.97,28.69,0.67,0.4,2.86,0.41,7,95.2,68,3008,2608,3349,3393,119.1,71.23,48.11,28.77,120.04,71.79,47.16,28.21,95.28,56.99,40.23,24.06,31.69,18.95,0,0,gold
blue,Arasaka2599,XBox,a475382cf8010900,4284,Fennec,167,76,0,0,0,0,5,3,3,0,259,62.03,712,469,243,7,22,283,167,116,2,11,8.79,13.55,86,250,48,1464,228004,89.89,53.72,64.12,38.32,13.33,7.97,111.4,66.57,52.45,31.34,3.5,2.09,2.01,0.14,14,64.9,91.5,2112,1703,2140,3393,108.85,65.05,58.49,34.95,100.48,60.05,66.86,39.95,82.69,49.41,37.09,22.16,47.57,28.43,0,0,gold
orange,Shirek,Steam,76561198026920520,23,Octane,167,461,3,0,0,4,1,0,0,75,252,50.97,656,444,212,6,19,192,90,102,1,9,25.07,22.86,114,165,9,1320,204654,114.35,68.33,41.31,24.68,11.69,6.99,112.28,67.1,50.09,29.93,4.97,2.97,2.44,0.27,9,80,74.7,2647,2586,2670,3395,127.85,76.4,39.49,23.6,102.06,60.99,65.29,39.01,77.55,46.34,52.45,31.34,37.34,22.31,0,0,gold
orange,Marthy McGray,Steam,76561198839543664,4284,Fennec,167,152,0,1,0,1,1,0,0,0,305,60.13,1008,795,213,11,19,220,146,74,2,7,22.23,35.92,247,232,53,1372,213578,89.89,53.75,63.58,38.02,13.77,8.23,114.54,68.49,52.17,31.2,0.52,0.31,1.9,0.48,4,76.1,79.9,2969,2510,3366,3395,129.85,77.64,37.39,22.36,106.83,63.88,60.41,36.12,81.18,48.54,50.48,30.18,35.58,21.27,0,0,gold
blue,clippedbytuck,PS4,clippedbytuck,23,Octane,335,309,1,0,1,2,4,2,1,50,252,56.33,1387,1061,326,11,29,172,100,72,1,6,19.46,90.49,341,27,0,1256,385582,224,67.8,79.81,24.16,26.56,8.04,258.17,78.15,71.67,21.69,0.53,0.16,4.07,0.34,12,218.2,108.6,3235,2840,3720,2972,263.01,79.61,67.37,20.39,220.59,66.77,109.79,33.23,174.89,52.94,89.59,27.12,65.89,19.94,0,1,gold
blue,Monke_1714,PS4,Monke_1714,23,Octane,335,168,0,0,0,2,4,2,1,0,271,61.21,1443,1059,384,17,36,469,316,153,5,13,14.07,59.43,343,666,183,1304,412167,206.24,62.08,104.47,31.45,21.5,6.47,203.24,61.18,126.34,38.03,2.63,0.79,3.87,0.23,17,116.3,214.8,1793,1853,1738,2972,220.01,66.23,112.2,33.77,182.32,54.88,149.89,45.12,149.83,45.1,77.19,23.24,105.19,31.66,0,1,gold
orange,Connor_1123,Epic,21884392077842b984e7d8f61662c929,23,Octane,335,406,1,1,1,1,4,1,0,100,152,64,940,450,490,10,42,120,0,120,0,10,18.96,57.29,52,561,0,1214,382533,252.1,75.21,77.3,23.06,5.78,1.72,238.58,71.18,93.63,27.93,2.97,0.89,4.1,0.32,13,205.2,117.3,2462,2335,2554,2673,259.85,77.53,75.33,22.47,224.88,67.09,110.3,32.91,174.75,52.14,86.36,25.77,74.06,22.1,0,0,gold
orange,AlonsoJC,XBox,a6d207e7f1010900,23,Octane,335,332,1,0,1,3,4,1,1,33.33,208,61.23,1214,837,377,12,34,506,328,178,5,17,4.83,49.19,194,381,186,1224,390251,211.35,63.04,110.14,32.85,13.75,4.1,227.79,67.95,105.25,31.4,2.2,0.66,4.87,0.44,11,120.8,205.1,1717,1448,1971,2673,210.22,62.71,125.02,37.29,179.15,53.44,156.09,46.56,136.29,40.65,83.7,24.97,115.26,34.38,2,0,gold
blue,Dr Menchy101,XBox,c91df948f7010900,23,Octane,207,705,5,0,0,5,1,0,0,100,537,51.02,1579,1372,207,15,19,511,435,76,5,7,32.24,29.7,273,145,73,1446,263745,101.4,50.04,84.09,41.5,17.13,8.45,115.11,56.81,82.87,40.9,4.63,2.29,1.77,0.11,16,83.7,105.7,1906,1793,2047,2937,168.09,82.96,34.53,17.04,103.22,50.94,99.4,49.06,79.27,39.12,56.93,28.1,66.42,32.78,0,1,gold
blue,*********,XBox,4791590d00000900,25,Road Hog,207,204,0,2,1,1,1,0,0,0,225,59.19,962,712,250,11,22,183,92,91,2,8,5.33,51.79,50,397,112,1371,256864,119.34,57.72,80.44,38.91,6.97,3.37,139.89,67.66,65.43,31.65,1.43,0.69,0.84,0.12,7,111.1,80.5,2720,2616,2870,2937,169.83,82.14,36.93,17.86,125.25,60.58,81.5,39.42,85.66,41.43,68.96,33.35,52.14,25.22,0,0,gold
orange,TorqueyBrake824,XBox,2646a9f0f5010900,23,Octane,207,86,0,0,1,0,6,5,4,0,329,46.98,1000,795,205,10,17,171,100,71,1,6,30.03,17.2,177,204,0,1433,269345,112.25,54.26,79.22,38.3,15.39,7.44,125.32,60.58,72.73,35.16,8.81,4.26,1.93,0.21,9,102.3,84.3,2057,1838,2074,2695,137.99,66.71,68.87,33.29,153.16,74.04,53.7,25.96,126.09,60.95,55.24,26.7,25.53,12.34,1,0,gold
orange,Connor_1123,Epic,21884392077842b984e7d8f61662c929,23,Octane,207,32,0,0,0,1,6,5,1,0,192,51.92,621,275,346,5,30,52,0,52,0,5,17.18,19.6,107,183,8,1250,231974,148.41,72.27,51.05,24.86,5.9,2.87,160.58,78.19,42.21,20.55,2.57,1.25,2.93,0.37,8,84.2,101.9,2530,2288,2665,2695,135.86,66.16,69.5,33.84,157.85,76.87,47.5,23.13,116.96,56.95,71.67,34.9,16.73,8.15,0,0,gold
blue,DKN0K0,Epic,a27a52a3eac941858abbfc55d0c3ec24,403,Dominus,354,480,2,1,0,2,3,1,0,100,406,50.58,2172,1747,425,21,36,209,100,109,1,9,23.24,30.96,300,358,0,1365,447618,194.48,55.38,132.41,37.71,24.27,6.91,229.73,65.42,109.71,31.24,11.72,3.34,5.18,0.18,29,199,151.3,2417,2313,2514,2809,270.84,77.13,80.31,22.87,230.23,65.56,120.92,34.44,182.62,52.01,101.04,28.77,67.49,19.22,2,1,gold
