color,player name,platform,player id,car id,car name,game duration,score,goals,assists,saves,shots,shots conceded,goals conceded,goals conceded while last defender,shooting percentage,bpm,avg boost amount,amount collected,amount collected big pads,amount collected small pads,count collected big pads,count collected small pads,amount stolen,amount stolen big pads,amount stolen small pads,count stolen big pads,count stolen small pads,0 boost time,100 boost time,amount used while supersonic,amount overfill total,amount overfill stolen,avg speed,total distance,time slow speed,percentage slow speed,time boost speed,percentage boost speed,time supersonic speed,percentage supersonic speed,time on ground,percentage on ground,time low in air,percentage low in air,time high in air,percentage high in air,time powerslide,avg powerslide time,count powerslide,time most back,time most forward,avg distance to ball,avg distance to ball has possession,avg distance to ball no possession,avg distance to team mates,time behind ball,percentage behind ball,time in front of ball,percentage in front of ball,time defensive half,percentage defensive half,time offensive half,percentage offensive half,time defensive third,percentage defensive third,time neutral third,percentage neutral third,time offensive third,percentage offensive third,demos inflicted,demos taken,rank
orange,b0rec.,Epic,c7e3bd2d42194f5ea75cf28e003714fc,4284,Fennec,390,441,1,2,1,4,11,4,2,25,369,49.34,2622,1784,838,22,70,629,348,281,4,21,43.29,39.67,317,454,78,1493,535502,191.73,49.38,139.25,35.86,57.33,14.76,224.06,57.7,146.75,37.79,17.51,4.51,7.83,0.14,58,200.3,163.8,2164,2130,2166,3075,291.3,75.02,97.02,24.98,231.14,59.52,157.17,40.48,173.38,44.65,116.56,30.02,98.38,25.33,3,0,supersonic
blue,Gonzalez,Steam,76561198222116968,4284,Fennec,139,104,0,0,1,2,3,1,0,0,438,51.86,1017,836,181,10,16,136,100,36,1,3,35.01,6.94,237,170,0,1684,222581,49.88,35.7,51.91,37.16,37.92,27.14,59.79,42.79,73.36,52.51,6.57,4.7,1.93,0.09,21,63.1,80.4,2282,1961,2444,3222,96.99,69.42,42.72,30.58,91.14,65.24,48.57,34.76,69.8,49.96,39.54,28.3,30.37,21.74,2,0,supersonic
blue,Mercury,Steam,76561199015584092,4284,Fennec,139,94,0,0,0,1,3,1,1,0,412,53.08,917,748,169,10,16,171,100,71,1,6,14.47,28.9,41,266,0,1442,175935,72.46,54.23,43.11,32.26,18.05,13.51,62.64,46.88,64.07,47.95,6.9,5.16,2.33,0.09,27,80.3,52.7,2334,2137,2418,3222,107.29,80.3,26.32,19.7,92.81,69.46,40.81,30.54,76.14,56.98,35.01,26.2,22.47,16.82,1,2,supersonic
orange,GoldNiNja,Steam,76561198294115607,4284,Fennec,139,248,1,0,1,2,3,0,0,50,352,55.12,777,365,412,4,37,266,80,186,1,17,3.6,11.07,55,45,28,1485,196296,70.61,50.55,44.72,32.02,24.35,17.43,79.56,56.96,52.92,37.89,7.2,5.15,2,0.09,22,73.1,69.5,2563,2478,2771,3262,108.88,77.95,30.8,22.05,73.55,52.66,66.12,47.34,53.02,37.96,45.01,32.22,41.65,29.82,1,0,supersonic
orange,!,Steam,76561198806898116,4284,Fennec,139,195,0,1,1,1,3,0,0,0,495,52.28,949,704,245,9,22,72,0,72,0,6,10.37,10.37,174,202,0,1522,187423,56.01,42.92,55.73,42.7,18.77,14.38,66.56,51,47.38,36.31,16.56,12.69,1.97,0.12,17,68.8,64.2,2265,2142,2360,3262,106.21,81.38,24.3,18.62,85.69,65.65,44.83,34.35,65.95,50.53,38.3,29.35,26.26,20.12,1,3,supersonic
blue,VKSailen,Steam,76561198397457726,4284,Fennec,378,743,1,1,5,6,10,3,2,16.67,472,44.79,2982,2188,794,24,70,649,340,309,4,27,52.65,47.65,408,233,61,1536,533208,171.16,45.36,143.06,37.91,63.15,16.73,183.97,48.75,170.61,45.21,22.8,6.04,7.17,0.11,65,164.1,191.5,2298,2311,2282,3059,276.83,73.36,100.55,26.64,219.94,58.28,157.44,41.72,156.32,41.42,125.64,33.29,95.42,25.28,1,0,supersonic
blue,Rxii,Steam,76561198382393639,23,Octane,378,645,3,1,0,7,10,3,1,42.86,406,48.06,2514,2023,491,24,47,609,482,127,5,12,39.96,33.73,324,387,17,1539,526816,173.95,46.85,129.43,34.86,67.92,18.29,191.49,51.57,155.47,41.87,24.34,6.56,5.59,0.13,42,191.8,157.7,2182,2101,2261,3059,285.95,77.01,85.36,22.99,240.76,64.84,130.55,35.16,169.47,45.64,115.64,31.14,86.2,23.22,2,2,supersonic
orange,boacito.,Steam,76561199057556488,4284,Fennec,378,648,3,0,2,4,13,4,4,75,464,46.22,2867,2047,820,24,68,717,474,243,6,18,56.47,22.81,224,260,125,1575,542986,160.4,42.85,163.18,43.6,50.71,13.55,183.86,49.12,163.32,43.63,27.11,7.24,6.95,0.07,93,178,181,2203,2068,2314,3236,265.74,71,108.55,29,258.23,68.99,116.06,31.01,189.21,50.55,108,28.85,77.08,20.59,1,1,supersonic
orange,TempoH,Steam,76561198956605973,4284,Fennec,378,541,0,1,3,6,13,4,0,0,378,48.58,2441,1865,576,24,49,419,226,193,3,16,37.4,60.3,294,452,73,1589,537371,143.32,38.97,169.92,46.2,54.54,14.83,183.28,49.83,157.58,42.85,26.92,7.32,5.51,0.13,44,179.4,173.8,2363,1781,2905,3236,260.75,70.9,107.03,29.1,240.86,65.49,126.93,34.51,178.07,48.42,116.68,31.72,73.04,19.86,1,2,supersonic
blue,092o,Epic,ccd8370c529e44feb98ac77d3f04a3b4,4284,Fennec,356,809,2,0,4,4,12,2,2,50,503,47.83,2921,2244,677,28,63,349,166,183,2,17,53.54,31.85,452,569,33,1659,551666,138.23,38.91,123.02,34.63,93.97,26.45,171.9,48.39,162.56,45.76,20.76,5.84,10.17,0.09,113,152.9,183.5,2309,2107,2488,3110,263.65,74.22,91.56,25.78,238.16,67.05,117.06,32.95,183.11,51.55,110.03,30.98,62.07,17.47,1,0,supersonic
blue,Ram0ss.,Epic,2fbcefd965dc46738792c1a804eb8744,4284,Fennec,356,446,1,0,3,3,12,2,0,33.33,434,49.7,2680,1874,806,20,72,637,436,201,5,17,50.34,23.79,260,137,63,1555,518195,155.03,43.64,143.86,40.5,56.33,15.86,166.27,46.81,166.53,46.88,22.42,6.31,8.83,0.14,65,183.2,153.2,2242,2276,2205,3110,268.8,75.67,86.42,24.33,247.07,69.55,108.15,30.45,182.88,51.48,117.85,33.18,54.49,15.34,2,0,supersonic
orange,boacito.,Steam,76561199057556488,4284,Fennec,356,567,1,0,2,8,7,3,3,12.5,490,54.8,2887,2281,606,26,57,619,400,219,4,20,45.24,35.8,428,297,3,1655,547481,128.8,36.57,141.93,40.3,81.45,23.13,157.75,44.79,160.52,45.58,33.9,9.63,5.78,0.09,68,187.5,155.6,2162,1988,2353,3103,258.16,73.3,94.02,26.7,202.19,57.41,149.98,42.59,142.8,40.55,117.6,33.39,91.78,26.06,0,1,supersonic
orange,j  ,Steam,76561198334843299,23,Octane,356,437,1,1,2,4,7,3,0,25,356,43.81,2213,1400,813,16,74,481,161,320,2,30,46.72,49.07,257,231,64,1526,498915,160.46,45.96,132.77,38.03,55.93,16.02,200.18,57.33,133.5,38.23,15.48,4.43,6.65,0.14,49,158.9,181.1,2480,2305,2681,3103,235.52,67.46,113.63,32.54,200.5,57.42,148.66,42.58,129.41,37.06,127.05,36.39,92.69,26.55,0,2,supersonic
blue,Scrafinha,Steam,76561198405892872,4284,Fennec,459,641,3,1,0,6,8,5,4,50,357,47.61,2946,2080,866,25,79,743,451,292,5,27,55.38,52.91,99,480,59,1597,671353,186.89,40.76,198.81,43.36,72.84,15.89,246.1,53.67,182.87,39.88,29.57,6.45,7.37,0.13,55,194.7,239.8,2462,2231,2716,3136,336.11,73.3,122.43,26.7,287.85,62.77,170.7,37.23,211.04,46.02,140.4,30.62,107.1,23.36,0,0,supersonic
blue,Mercury,Steam,76561199015584092,4284,Fennec,459,492,1,2,2,6,8,5,1,16.67,466,47.88,3699,2829,870,33,70,583,387,196,4,17,58,80.88,557,413,12,1563,647580,211.94,46.79,173.95,38.4,67.11,14.81,239.6,52.89,173.39,38.28,40.02,8.83,8.54,0.12,72,237.7,189.8,2259,2130,2401,3136,341.47,75.38,111.53,24.62,313.12,69.12,139.89,30.88,228.02,50.33,146.51,32.34,78.48,17.32,1,1,supersonic
orange,Gonzalez,Steam,76561198222116968,4284,Fennec,459,956,3,1,3,5,12,4,1,60,555,59.95,4352,3660,692,50,65,853,674,179,9,16,46.02,42.03,1066,1230,180,1686,705103,170.07,37.36,143.93,31.62,141.21,31.02,216.12,47.48,216.04,47.46,23.04,5.06,9.94,0.11,94,229,202.3,2503,2200,2722,3231,348.76,76.62,106.45,23.38,292.1,64.17,163.11,35.83,222.05,48.78,135.9,29.85,97.26,21.37,0,1,supersonic
orange,GoldNiNja,Steam,76561198294115607,4284,Fennec,459,690,2,1,3,3,12,4,3,66.67,342,46.23,2528,1352,1176,16,106,407,0,407,0,36,51.62,35.67,89,272,2,1528,641777,224.79,49.05,160.57,35.04,72.91,15.91,236.77,51.66,194.29,42.4,27.22,5.94,8.87,0.09,96,207.6,222.5,2571,2550,2619,3231,336.29,73.38,121.99,26.62,284.34,62.05,173.94,37.95,195.55,42.67,188.28,41.08,74.45,16.25,1,0,supersonic
