color,player name,platform,player id,car id,car name,game duration,score,goals,assists,saves,shots,shots conceded,goals conceded,goals conceded while last defender,shooting percentage,bpm,avg boost amount,amount collected,amount collected big pads,amount collected small pads,count collected big pads,count collected small pads,amount stolen,amount stolen big pads,amount stolen small pads,count stolen big pads,count stolen small pads,0 boost time,100 boost time,amount used while supersonic,amount overfill total,amount overfill stolen,avg speed,total distance,time slow speed,percentage slow speed,time boost speed,percentage boost speed,time supersonic speed,percentage supersonic speed,time on ground,percentage on ground,time low in air,percentage low in air,time high in air,percentage high in air,time powerslide,avg powerslide time,count powerslide,time most back,time most forward,avg distance to ball,avg distance to ball has possession,avg distance to ball no possession,avg distance to team mates,time behind ball,percentage behind ball,time in front of ball,percentage in front of ball,time defensive half,percentage defensive half,time offensive half,percentage offensive half,time defensive third,percentage defensive third,time neutral third,percentage neutral third,time offensive third,percentage offensive third,demos inflicted,demos taken,rank
orange,yevol.,Epic,efd8f755ff9a47f3b54b6358c36d5393,4284,Fennec,283,350,0,1,2,3,8,5,3,0,374,42.78,1659,1214,445,14,41,535,353,182,4,17,34.3,10.41,265,105,16,1560,406238,126.05,44.52,120.46,42.55,36.61,12.93,167.33,59.1,101.63,35.9,14.16,5,5.4,0.09,61,120.8,142.3,2442,2052,2712,3341,184.8,65.27,98.32,34.73,174.88,61.77,108.24,38.23,129.78,45.84,87.77,31,65.57,23.16,0,0,champion
orange,TTV SN0WY8214,XBox,cdf889aff3010900,4284,Fennec,283,202,1,0,0,1,8,5,2,100,334,52.02,1640,1310,330,15,29,120,0,120,0,10,34.05,16.55,152,194,0,1516,392513,126.62,44.7,126.61,44.69,30.06,10.61,182.84,64.54,90.81,32.06,9.64,3.4,3.18,0.13,25,144.6,119.5,2764,2204,3156,3341,198.1,69.93,85.18,30.07,186.45,65.82,96.83,34.18,130.72,46.15,106.21,37.49,46.35,16.36,2,0,champion
blue,Arsenalwil1,XBox,5d5484dcff010900,4284,Fennec,201,677,3,1,3,2,5,0,0,150,453,45.3,1499,1300,199,14,17,217,140,77,2,7,38.83,27.23,144,107,67,1471,257884,99.67,50.66,73.8,37.51,23.26,11.82,100.75,51.21,84.47,42.94,11.51,5.85,0.88,0.05,16,92.8,93.9,2660,2046,3208,3541,160.79,81.73,35.94,18.27,122.97,62.51,73.76,37.49,96.3,48.95,62.22,31.63,38.21,19.42,0,1,champion
blue,Manteigas,Steam,76561198193811931,4284,Fennec,201,446,2,2,1,2,5,0,0,100,320,47.83,800,440,360,5,28,117,0,117,0,9,15.49,7.15,53,32,1,1432,253747,114.5,56.96,74.01,36.82,12.5,6.22,129.71,64.53,67.18,33.42,4.12,2.05,3.55,0.15,23,107.8,98,3042,3040,3086,3541,160.23,79.71,40.79,20.29,145.16,72.21,55.86,27.79,116,57.71,52.53,26.13,32.48,16.16,1,0,champion
orange,AnatCvY,PS4,AnatCvY,23,Octane,201,80,0,0,0,3,4,5,2,0,413,54.08,1414,1162,252,15,22,387,298,89,3,8,14.92,25.6,53,350,8,1552,272739,94.65,47.08,72.88,36.25,33.53,16.68,103.88,51.67,94.29,46.9,2.88,1.43,3.32,0.13,26,106.4,81.4,2889,2444,3295,3497,140.46,69.86,60.59,30.14,151.88,75.54,49.18,24.46,114.37,56.89,59.77,29.73,26.91,13.38,1,0,champion
orange,Faqs FN,XBox,ced43a7bfa010900,23,Octane,201,76,0,0,0,2,4,5,3,0,369,46.92,1115,847,268,10,23,450,357,93,4,8,19.29,16.87,123,156,45,1445,261678,106.92,53.54,74.06,37.08,18.73,9.38,132.43,66.31,62.03,31.06,5.25,2.63,3.48,0.12,28,81.8,112.6,2509,2919,2098,3497,133.83,67.01,65.88,32.99,118.78,59.48,80.93,40.52,86.19,43.16,66.62,33.36,46.9,23.48,0,1,champion
blue,keryan_mnl,PS4,keryan_mnl,4284,Fennec,459,753,2,1,3,4,8,3,1,50,390,49.75,2920,2283,637,26,51,863,667,196,7,17,67.89,61.68,141,323,35,1443,616278,245.34,53.51,162.42,35.42,50.73,11.06,246.93,53.86,184.11,40.16,27.45,5.99,5.71,0.13,44,199.7,239.9,2134,1751,2367,3129,327.7,71.47,130.79,28.53,299.3,65.28,159.19,34.72,238.47,52.01,118.84,25.92,101.19,22.07,0,0,champion
blue,BlackSquod_genca,PS4,BlackSquod_genca,23,Octane,459,659,2,1,1,6,8,3,2,33.33,313,47.11,2536,1722,814,19,73,165,0,165,0,14,63.02,32.02,361,190,0,1398,597434,241.96,52.8,190.06,41.48,26.21,5.72,313.21,68.35,135.8,29.64,9.23,2.01,7.36,0.12,59,240.8,194,2733,2662,2793,3129,337.51,73.65,120.73,26.35,322.33,70.34,135.91,29.66,254.05,55.44,136.29,29.74,67.9,14.82,0,0,champion
orange,yevol.,Epic,efd8f755ff9a47f3b54b6358c36d5393,23,Octane,459,543,1,0,3,3,10,4,4,33.33,416,43.78,3026,2292,734,26,64,1111,754,357,9,31,48.22,41.01,194,274,108,1473,630792,226.66,49.44,185.65,40.49,46.19,10.07,277.05,60.43,159.52,34.79,21.93,4.78,8.8,0.09,101,194.3,238.5,1892,1772,2011,3160,346.06,75.48,112.44,24.52,239.84,52.31,218.67,47.69,181.76,39.64,139.69,30.47,137.05,29.89,0,0,champion
orange,GIFTDRUSE,Epic,c28f3c699e6c4aa4b9353bdff791f4a1,4284,Fennec,459,506,2,0,1,5,10,4,0,40,393,54.39,2981,2320,661,28,60,702,473,229,6,20,28.94,67.8,278,521,138,1503,643454,225.34,49.16,194.69,42.48,38.33,8.36,286.47,62.5,140.66,30.69,31.22,6.81,6.43,0.18,35,240.1,194.1,2840,2780,2875,3160,355.09,77.47,103.27,22.53,276.05,60.23,182.31,39.77,205.73,44.88,146.77,32.02,105.86,23.1,0,0,champion
blue,ONANA da goon,Epic,0324eda644624c9592fc5d9eed530e18,23,Octane,325,453,0,0,3,3,9,2,0,0,371,56.76,1914,1576,338,20,33,324,248,76,3,8,21.76,35.8,112,445,51,1399,436641,169.5,52.35,131.62,40.65,22.66,7,209.51,64.71,108.2,33.42,6.08,1.88,6.37,0.14,44,158.1,157.7,2448,2103,2717,2808,234.76,72.51,89.02,27.49,225.97,69.79,97.81,30.21,176.46,54.5,98.75,30.5,48.58,15,0,0,champion
blue,ONANA da goon(1),Epic,0324eda644624c9592fc5d9eed530e18,4284,Fennec,325,324,0,0,2,1,9,2,2,0,338,47.63,1812,1383,429,17,38,335,200,135,2,12,49.85,33.81,166,236,0,1481,463639,156.84,48.32,130.18,40.11,37.54,11.57,167.59,51.64,142.6,43.94,14.37,4.43,6.22,0.17,37,159.1,158.2,2143,1812,2383,2808,242.59,74.75,81.96,25.25,238.27,73.41,86.29,26.59,191.84,59.11,76.79,23.66,55.93,17.23,0,0,champion
orange,Matimatrl_bis,Epic,0f30eee1f2744767a8e722761b08bd85,23,Octane,325,402,1,0,1,5,4,0,0,20,406,49.05,2182,1554,628,19,53,188,23,165,1,14,26.71,37.21,258,236,0,1658,520124,110.17,33.91,148.06,45.57,66.66,20.52,196.3,60.42,122.85,37.81,5.74,1.77,5.92,0.15,40,179.3,137,2236,2230,2230,3207,271.31,83.51,53.58,16.49,187.2,57.62,137.69,42.38,126.64,38.98,116.43,35.84,81.82,25.18,0,0,champion
