color,player name,platform,player id,car id,car name,game duration,score,goals,assists,saves,shots,shots conceded,goals conceded,goals conceded while last defender,shooting percentage,bpm,avg boost amount,amount collected,amount collected big pads,amount collected small pads,count collected big pads,count collected small pads,amount stolen,amount stolen big pads,amount stolen small pads,count stolen big pads,count stolen small pads,0 boost time,100 boost time,amount used while supersonic,amount overfill total,amount overfill stolen,avg speed,total distance,time slow speed,percentage slow speed,time boost speed,percentage boost speed,time supersonic speed,percentage supersonic speed,time on ground,percentage on ground,time low in air,percentage low in air,time high in air,percentage high in air,time powerslide,avg powerslide time,count powerslide,time most back,time most forward,avg distance to ball,avg distance to ball has possession,avg distance to ball no possession,avg distance to team mates,time behind ball,percentage behind ball,time in front of ball,percentage in front of ball,time defensive half,percentage defensive half,time offensive half,percentage offensive half,time defensive third,percentage defensive third,time neutral third,percentage neutral third,time offensive third,percentage offensive third,demos inflicted,demos taken,rank
blue,KOsmurf8237,XBox,8afb2218fa010900,23,Octane,431,1009,6,0,0,5,8,5,2,120,469,46.89,3171,2547,624,31,55,820,590,230,6,20,56.75,42.54,674,562,19,1562,593581,191.06,44.64,177.13,41.39,59.77,13.97,265.01,61.92,148.8,34.77,14.15,3.31,5.42,0.12,45,198.3,209.8,2750,2565,2927,3556,318.6,74.45,109.36,25.55,263.79,61.64,164.17,38.36,205.27,47.96,115.85,27.07,106.84,24.96,0,1,platinum
blue,MrCartr,PS4,MrCartr,4284,Fennec,431,425,0,4,0,2,8,5,3,0,358,47.62,2507,1855,652,21,56,373,170,203,2,17,49.95,16.45,370,251,29,1565,571849,190.61,46.54,158.52,38.71,60.4,14.75,233.57,57.03,159.06,38.84,16.91,4.13,4.05,0.19,21,208,184.3,2646,2775,2593,3556,272.53,66.55,137.01,33.45,250.93,61.27,158.61,38.73,192.66,47.04,129.6,31.65,87.28,21.31,1,7,platinum
orange,XFP,Psynet,9fd319f7cef4f86f,23,Octane,431,765,4,1,0,7,7,6,5,57.14,383,38.16,2450,1835,615,20,54,481,231,250,3,22,71.55,50.44,567,171,68,1421,539536,223.35,52.54,160.84,37.84,40.89,9.62,295.25,69.46,125.02,29.41,4.81,1.13,5.91,0.2,29,235.8,150.7,2693,2879,2527,3547,330.22,77.69,94.85,22.31,292.42,68.79,132.65,31.21,243.71,57.33,108.66,25.56,72.71,17.11,1,1,platinum
orange,rage10b,Steam,76561198841096308,23,Octane,431,304,1,1,0,1,7,6,1,100,467,49.91,3436,2438,998,29,92,1439,952,487,12,44,64.43,15.39,696,114,39,1810,698949,124.11,28.8,183.11,42.49,123.7,28.71,266.94,61.95,149.05,34.59,14.92,3.46,10.36,0.12,85,152.4,240.8,2954,2496,3279,3547,270.87,62.86,160.05,37.14,247.32,57.39,183.6,42.61,188.21,43.68,116.64,27.07,126.07,29.26,7,0,platinum
blue,ThrownGrain64,XBox,5398c40700000900,4284,Fennec,381,798,3,3,2,6,5,3,1,50,390,53.78,2194,1678,516,21,47,743,517,226,6,20,33.63,27.96,202,421,82,1403,484821,224.22,58.98,121.25,31.9,34.68,9.12,236.64,62.25,122.09,32.12,21.41,5.63,6.61,0.19,35,187.4,158.9,2387,2423,2355,3272,291.65,76.72,88.49,23.28,207.02,54.46,173.12,45.54,151.23,39.78,119.29,31.38,109.62,28.84,0,0,platinum
blue,User-b87f5a6c3f,Epic,78a0d2fa7d8844bb9d7a97ad8cfc6fb9,23,Octane,381,579,3,1,0,7,5,3,2,42.86,383,50.38,2262,1651,611,20,54,559,272,287,3,26,41.15,22.34,219,305,14,1505,519179,188.04,49.39,148.08,38.9,44.59,11.71,204.31,53.67,166.53,43.74,9.87,2.59,7.86,0.09,83,159.6,187.6,2650,2293,3006,3272,260.36,68.39,120.35,31.61,193.28,50.77,187.43,49.23,139.05,36.52,134.23,35.26,107.44,28.22,0,0,platinum
orange,bdublovesgod,PS4,bdublovesgod,4284,Fennec,381,474,1,0,4,2,13,6,0,50,259,43.22,1510,981,529,11,47,359,276,83,3,7,30.98,56.49,164,136,23,1255,434497,255.12,67.01,108.36,28.46,17.23,4.53,258.93,68.01,115.7,30.39,6.08,1.6,3.44,0.23,15,166.5,179.1,2433,2269,2576,2695,273.63,71.87,107.08,28.13,282.61,74.23,98.1,25.77,227.74,59.82,90.6,23.8,62.37,16.38,0,0,platinum
orange,Chill_Jesus,PS4,Chill_Jesus,4284,Fennec,381,468,2,0,1,3,13,6,6,66.67,286,52.73,1924,1388,536,17,48,374,248,126,4,12,35.29,36.42,247,336,159,1369,473271,216.14,56.78,140.8,36.99,23.74,6.24,218.36,57.36,156.53,41.12,5.79,1.52,3.01,0.16,19,179.9,166.4,2445,2288,2597,2695,281.02,73.82,99.66,26.18,287.34,75.48,93.34,24.52,220.55,57.94,102.96,27.05,57.17,15.02,0,0,platinum
blue,CoItron,Epic,ba159dd0a9b74c6381f966efe5c26881,23,Octane,101,232,1,0,0,3,0,0,0,33.33,546,49.06,852,763,89,8,8,128,92,36,1,3,13.13,14.85,128,38,7,1594,154750,36.9,36.45,45.95,45.39,18.38,18.16,54.44,53.78,45.22,44.67,1.57,1.55,1.77,0.16,11,39.1,58.2,2219,1993,2350,3458,81.18,80.19,20.05,19.81,62.81,62.05,38.41,37.95,45.46,44.91,29.05,28.7,26.71,26.39,0,0,platinum
blue,freaxytom,XBox,99e9a36aff010900,4284,Fennec,101,8,0,0,0,0,0,0,0,0,268,57.82,415,232,183,4,16,32,0,32,0,3,6.95,10.8,83,172,0,1314,127098,58.71,58.04,39.98,39.52,2.47,2.44,65.21,64.46,32.34,31.97,3.61,3.57,0,0,0,62.3,39.1,2955,3265,2531,3458,78.73,77.83,22.43,22.17,68.66,67.87,32.51,32.13,57.14,56.48,23.62,23.35,20.4,20.17,0,0,platinum
orange,FourRealJames,PS4,FourRealJames,4284,Fennec,101,130,0,0,2,0,3,1,0,0,352,61.62,552,342,210,5,20,25,0,25,0,3,2.39,16.42,85,173,0,1336,127018,56.9,56.23,40.43,39.95,3.86,3.81,69.16,68.34,32.04,31.66,0,0,1.87,0.23,8,46.1,51.7,2418,2147,2594,2778,78.8,77.87,22.4,22.13,73.51,72.65,27.68,27.35,59.53,58.82,23.35,23.07,18.32,18.1,0,0,platinum
orange,broKINtrust-_-21,PS4,broKINtrust-_-21,23,Octane,101,24,0,0,0,0,3,1,1,0,254,44.84,371,264,107,3,9,124,100,24,1,2,1.67,14.28,69,35,0,1191,114895,77.32,76.44,19.91,19.68,3.92,3.88,73.65,72.81,23.66,23.39,3.85,3.81,1.94,0.14,14,51.5,47.1,2213,2052,2301,2778,76.16,75.29,25,24.71,64.05,63.32,37.11,36.68,52.92,52.31,28.59,28.26,19.65,19.42,0,0,platinum
