color,player name,platform,player id,car id,car name,game duration,score,goals,assists,saves,shots,shots conceded,goals conceded,goals conceded while last defender,shooting percentage,bpm,avg boost amount,amount collected,amount collected big pads,amount collected small pads,count collected big pads,count collected small pads,amount stolen,amount stolen big pads,amount stolen small pads,count stolen big pads,count stolen small pads,0 boost time,100 boost time,amount used while supersonic,amount overfill total,amount overfill stolen,avg speed,total distance,time slow speed,percentage slow speed,time boost speed,percentage boost speed,time supersonic speed,percentage supersonic speed,time on ground,percentage on ground,time low in air,percentage low in air,time high in air,percentage high in air,time powerslide,avg powerslide time,count powerslide,time most back,time most forward,avg distance to ball,avg distance to ball has possession,avg distance to ball no possession,avg distance to team mates,time behind ball,percentage behind ball,time in front of ball,percentage in front of ball,time defensive half,percentage defensive half,time offensive half,percentage offensive half,time defensive third,percentage defensive third,time neutral third,percentage neutral third,time offensive third,percentage offensive third,demos inflicted,demos taken,rank
orange,Nightshiftt,Steam,76561198944958181,4284,Fennec,365,911,5,2,1,8,8,4,2,62.5,380,40.05,1969,1265,704,14,61,304,99,205,1,17,40.32,16.37,176,134,0,1478,465445,187.59,51.97,128.57,35.62,44.82,12.42,193.08,53.49,137,37.95,30.9,8.56,4.64,0.11,41,154.7,171.5,2348,2165,2569,3120,282.82,78.35,78.16,21.65,188.83,52.31,172.15,47.69,131,36.29,126.32,34.99,103.65,28.71,2,1,grand
orange,ttv rlquint,Steam,76561198334821706,4284,Fennec,365,563,2,1,2,5,8,4,2,40,401,45.37,2591,1753,838,21,75,772,441,331,5,29,21.49,34.87,207,290,59,1579,506085,159.24,43.93,140.81,38.85,62.44,17.23,197.91,54.6,148.64,41.01,15.94,4.4,10.95,0.1,108,175.1,154.7,2674,2724,2557,3120,275.32,75.95,87.17,24.05,232.81,64.23,129.68,35.77,150.66,41.56,136.5,37.66,75.32,20.78,1,0,grand
blue,Benjellyyyy,Epic,03876caf616549ddb7c5796f056b2696,4284,Fennec,366,475,3,0,0,3,8,4,2,100,396,47.68,2317,1703,614,22,53,535,353,182,4,16,35.49,19.46,318,501,42,1536,521050,169.7,46.4,139.88,38.24,56.19,15.36,215.96,59.04,136.3,37.26,13.51,3.69,4.48,0.14,31,146.1,199.7,2402,2182,2588,3577,263.21,71.96,102.55,28.04,241.35,65.98,124.42,34.02,173.39,47.41,113.22,30.95,79.15,21.64,1,0,grand
blue,D3XTR Morgan,Epic,17179f09628042acafe233d7efd4f9e5,4284,Fennec,366,394,0,1,3,5,8,4,2,0,372,57.05,2353,1737,616,19,58,505,372,133,4,12,27.31,47.74,252,216,35,1483,502784,187.8,51.41,134.57,36.84,42.96,11.76,214.53,58.72,139.93,38.3,10.86,2.97,9.35,0.12,80,198.6,145.9,2703,2669,2761,3577,284.45,77.86,80.87,22.14,254.98,69.8,110.34,30.2,191.1,52.31,118.23,32.36,56,15.33,0,0,grand
orange,Toges.,Epic,ce05a48dc7a14ed0ba0896ba06bbf85b,23,Octane,366,799,3,1,3,4,8,3,1,75,410,47.57,2257,1554,703,21,63,460,200,260,3,23,23.52,41.22,195,346,45,1505,506213,189.88,52.33,117.28,32.32,55.68,15.35,204.18,56.27,143.77,39.62,14.88,4.1,11.53,0.14,80,215.6,133.7,2234,2001,2502,3081,292.05,80.49,70.78,19.51,235.62,64.94,127.21,35.06,162.74,44.85,133.73,36.86,66.37,18.29,0,1,grand
orange,Cuyoo.,Epic,4daa0fe5144e41bb87925e6577f00eda,23,Octane,366,631,1,2,4,4,8,3,2,25,478,49.05,2721,1888,833,22,68,690,407,283,6,25,42.1,28.67,440,342,204,1676,568686,129.7,35.47,173.64,47.49,62.32,17.04,186.24,50.93,154.87,42.35,24.54,6.71,5.96,0.13,45,137.1,211.7,2379,2309,2480,3081,265.2,72.53,100.46,27.47,205.28,56.14,160.38,43.86,142.34,38.93,127.67,34.91,95.65,26.16,0,0,grand
blue,stim,Steam,76561198971466743,4284,Fennec,353,476,2,0,2,5,9,2,1,40,307,49.51,1995,1360,635,17,58,298,100,198,1,18,32,37.46,326,343,4,1471,481452,185.44,52.95,112.32,32.07,52.47,14.98,221.93,63.37,120.73,34.47,7.57,2.16,5.21,0.15,34,147,185.5,2236,2110,2343,2780,260.2,74.3,90.02,25.7,246.5,70.38,103.73,29.62,179.33,51.2,116.93,33.39,53.97,15.41,1,1,grand
blue,pops.,Steam,76561198135780520,4284,Fennec,353,458,1,0,2,2,9,2,1,50,292,48.06,1699,1114,585,13,53,282,174,108,2,9,28.09,32.1,134,216,25,1423,471160,189.74,53.71,136.89,38.75,26.63,7.54,218.04,61.72,133.68,37.84,1.53,0.43,7.03,0.12,59,185.7,150.5,2442,2341,2519,2780,285.79,80.9,67.47,19.1,251.29,71.13,101.97,28.87,188.8,53.45,110.63,31.32,53.83,15.24,1,0,grand
orange,FunkySoul,Steam,76561198185573978,4284,Fennec,353,565,1,1,3,5,7,3,3,20,486,43,2776,2113,663,26,61,770,502,268,6,25,57.12,33,264,418,91,1600,524002,148.04,42.26,140.62,40.15,61.62,17.59,169.81,48.48,160.02,45.68,20.47,5.84,9.38,0.1,92,145.9,190.4,2009,1701,2374,2994,243.53,69.52,106.77,30.48,189.44,54.08,160.86,45.92,134.55,38.41,99.06,28.28,116.69,33.31,1,1,grand
orange,44ozDrPepper,Epic,6d838746625044d891c4d576e002a2f5,4284,Fennec,353,428,1,1,1,4,7,3,0,25,462,53.57,2622,1960,662,23,63,499,298,201,3,19,48.26,48.16,269,386,11,1486,485405,164.7,47.04,134.36,38.37,51.07,14.59,208.17,59.46,126.27,36.06,15.68,4.48,6.57,0.1,64,192.4,142.2,2369,2479,2242,2994,265.72,75.89,84.4,24.11,207.5,59.27,142.62,40.73,144.31,41.22,130.22,37.19,75.6,21.59,0,1,grand
